City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,micheweni,-4.9667,39.8333,24.049999999999955,77,6,6.1,TZ,1690742269
66,puerto ayora,-0.7393,-90.3518,29.980000000000015,90,47,2.24,EC,1690742269
67,puerto natales,-51.7236,-72.4875,3.2200000000000277,73,72,5.61,CL,1690742269
68,at-bashi,41.1702,75.8106,13.430000000000064,75,17,0.58,KG,1690742270
69,vadso,70.0744,29.7487,12.490000000000007,87,40,2.57,NO,1690742270
70,ust-nera,64.5667,143.2,9.460000000000036,85,100,3.38,RU,1690742270
71,kuala terengganu,5.3302,103.1408,23.970000000000027,100,40,1.54,MY,1690742270
72,anadyr,64.75,177.4833,12.279999999999973,81,75,4.0,RU,1690742270
73,kisangani,0.5167,25.2,25.350000000000023,75,4,1.13,CD,1690742271
74,bom jesus,-9.0744,-44.3586,34.98000000000002,25,67,3.45,BR,1690742271
75,tabou,4.423,-7.3528,24.590000000000032,88,65,3.99,CI,1690742271
76,minab,27.1467,57.0801,36.46000000000004,38,99,1.6,IR,1690742271
77,dakhla,23.6848,-15.958,23.00999999999999,78,0,11.83,EH,1690742272
78,margaret river,-33.95,115.0667,12.860000000000014,75,34,3.18,AU,1690742272
79,pariaman,-0.619,100.12,26.029999999999973,90,60,1.4,ID,1690742272
80,hirara,24.8,125.2833,27.920000000000076,94,20,4.63,JP,1690742272
81,nar'yan-mar,67.6713,53.087,23.1400000000001,66,10,5.98,RU,1690742273
82,victoria de durango,24.0333,-104.6667,25.039999999999964,46,40,2.06,MX,1690742225
83,terme,41.2092,36.9739,19.96000000000004,81,3,1.09,TR,1690742273
84,likisa,-8.6695,125.6875,14.960000000000036,58,79,2.55,TL,1690742273
85,saipan,15.1355,145.701,27.3900000000001,83,20,2.06,MP,1690742274
86,qaqortoq,60.7167,-46.0333,9.029999999999973,68,41,2.15,GL,1690742274
87,port lincoln,-34.7333,135.8667,12.009999999999993,77,12,4.04,AU,1690742274
88,baise city,23.8997,106.6133,25.360000000000014,97,100,0.86,CN,1690742274
89,blackmans bay,-43.0167,147.3167,8.07000000000005,83,87,11.1,AU,1690742275
90,susuman,62.7833,148.1667,8.379999999999995,89,100,2.13,RU,1690741999
91,portland,45.5234,-122.6762,24.99000000000001,52,20,3.58,US,1690742104
92,enewetak,11.3474,162.3373,27.5,79,93,7.67,MH,1690742275
93,fallon,39.4735,-118.7774,34.400000000000034,20,0,2.06,US,1690742275
94,iskateley,67.6803,53.1512,23.059999999999945,66,11,5.92,RU,1690742276
95,sept-iles,50.2001,-66.3821,22.0,64,75,7.2,CA,1690742276
96,stanley,54.868,-1.6985,16.1400000000001,74,20,7.72,GB,1690742276
97,hadibu,12.65,54.0333,26.1400000000001,80,36,8.18,YE,1690742276
98,smithers,54.7804,-127.1743,18.180000000000064,68,75,1.54,CA,1690742239
99,dudinka,69.4058,86.1778,18.680000000000064,85,49,3.86,RU,1690742277
100,tazovsky,67.4667,78.7,10.6400000000001,89,0,4.71,RU,1690742277
101,rio preto da eva,-2.6994,-59.6997,27.870000000000005,72,82,2.91,BR,1690742277
102,naze,28.3667,129.4833,26.50999999999999,88,100,8.49,JP,1690742277
103,bandiagara,14.3501,-3.6104,34.670000000000016,34,92,2.77,ML,1690742278
104,curup,-3.4667,102.5333,19.779999999999973,98,67,1.55,ID,1690742278
105,gangapur,26.4833,76.7167,29.71000000000004,72,100,4.68,IN,1690742279
106,al mutayrifi,25.4788,49.5576,39.19,16,74,3.36,SA,1690742279
107,fengtai,39.5581,117.7492,24.46000000000004,95,100,6.9,CN,1690742279
108,loudeac,48.1783,-2.7543,19.15000000000009,73,84,6.03,FR,1690742280
109,thompson,55.7435,-97.8558,22.090000000000032,56,0,3.09,CA,1690742280
110,broome,42.2506,-75.833,23.90000000000009,51,40,3.6,US,1690742280
111,sinabang,2.4803,96.3801,26.420000000000076,81,100,0.25,ID,1690742280
112,rio grande,-32.035,-52.0986,23.059999999999945,70,100,1.96,BR,1690742250
113,manggar,-2.8833,108.2667,27.600000000000023,76,100,7.55,ID,1690742281
114,waajid,3.8096,43.2463,26.21000000000004,53,95,9.11,SO,1690742281
115,port alfred,-33.5906,26.891,12.559999999999944,58,13,10.05,ZA,1690742281
116,zaozersk,69.4005,32.4476,13.610000000000014,85,25,1.17,RU,1690742281
117,dazhong,33.1997,120.4578,25.769999999999985,90,88,5.84,CN,1690742282
118,luz,-19.8014,-45.6856,27.789999999999964,36,55,1.49,BR,1690742282
119,mejit,10.2753,170.8646,28.450000000000045,78,100,8.77,MH,1690742283
120,saskatoon,52.1168,-106.6345,24.99000000000001,31,20,4.12,CA,1690742152
121,gejiu,23.306,103.1635,14.58000000000004,96,100,1.12,CN,1690742283
122,st. john's,47.5649,-52.7093,16.200000000000045,96,100,5.14,CA,1690742119
123,lazaro cardenas,17.9583,-102.2,32.52999999999997,65,100,5.04,MX,1690742284
124,hassi messaoud,31.6804,6.0729,47.920000000000016,7,0,2.06,DZ,1690742284
125,puerto lempira,15.2667,-83.7667,32.08000000000004,62,40,5.14,HN,1690742284
126,three points,32.0767,-111.3137,37.650000000000034,22,7,2.97,US,1690742284
127,kouango,4.9934,19.9619,23.21000000000004,96,80,1.85,CF,1690742284
128,sokoni,-6.4333,39.55,23.920000000000076,73,1,5.72,TZ,1690742285
129,port mathurin,-19.6833,63.4167,23.170000000000076,77,10,9.24,MU,1690742285
130,antalaha,-14.9003,50.2788,20.269999999999985,89,4,2.8,MG,1690742285
131,callao,-12.0667,-77.15,25.40000000000009,68,75,4.63,PE,1690742214
132,badger,64.8,-147.5333,17.50999999999999,83,100,1.54,US,1690742286
133,greenwood,34.1668,-82.1165,33.680000000000064,58,0,1.54,US,1690742286
134,sevastopol,44.6,33.5333,22.220000000000027,59,0,1.21,UA,1690742066
135,puerto baquerizo moreno,-0.9,-89.6,27.549999999999955,78,40,6.17,EC,1690742286
136,korla,41.7597,86.1469,22.029999999999973,65,66,5.03,CN,1690742286
137,zalaegerszeg,46.84,16.8439,18.769999999999985,75,100,1.16,HU,1690742287
138,ulsteinvik,62.3432,5.8487,15.730000000000018,91,100,2.24,NO,1690742287
139,yoichi,43.2039,140.7703,23.90000000000009,87,100,5.04,JP,1690742287
140,udachny,66.4167,112.4,16.920000000000073,41,40,3.37,RU,1690742287
141,ciudad lazaro cardenas,17.9583,-102.2,32.52999999999997,65,100,5.04,MX,1690742288
142,palmer,42.1584,-72.3287,25.350000000000023,50,20,2.06,US,1690742288
143,la passe,45.5549,-0.8967,22.129999999999995,66,2,3.45,FR,1690742288
144,hithadhoo,-0.6,73.0833,27.670000000000076,75,45,1.39,MV,1690742288
145,tura,25.5198,90.2201,25.799999999999955,85,58,0.94,IN,1690742289
146,namibe,-15.1961,12.1522,16.82000000000005,77,2,2.9,AO,1690742289
147,port saint john's,-31.6229,29.5448,15.059999999999944,42,7,5.13,ZA,1690742289
148,jeremie,18.65,-74.1167,31.200000000000045,60,27,1.81,HT,1690742289
149,celestun,20.8667,-90.4,30.309999999999945,72,80,7.45,MX,1690742289
150,hasaki,35.7333,140.8333,26.840000000000032,88,6,6.35,JP,1690742290
151,shaoxing,30.011,120.5715,27.970000000000027,83,84,2.07,CN,1690742290
152,keflavik,64.0049,-22.5624,12.950000000000044,82,75,3.6,IS,1690742290
153,xining,36.6167,101.7667,15.879999999999995,71,10,1.1,CN,1690742291
154,akhmim,26.5622,31.745,34.110000000000014,22,0,4.68,EG,1690742291
155,cabo san lucas,22.8909,-109.9124,35.900000000000034,64,20,5.14,MX,1690742291
156,timmins,48.4669,-81.3331,13.900000000000093,94,75,2.06,CA,1690742260
157,west island,-12.1568,96.8225,24.99000000000001,78,75,10.29,CC,1690742291
158,pekan,3.4836,103.3996,26.059999999999945,87,96,3.82,MY,1690742292
159,east london,-33.0153,27.9116,14.519999999999982,41,0,6.69,ZA,1690742292
160,zaragoza,41.6561,-0.8773,31.360000000000014,38,0,8.23,ES,1690742123
161,mount isa,-20.7333,139.5,11.870000000000005,71,12,0.51,AU,1690742292
162,sambava,-14.2667,50.1667,20.69000000000005,87,0,3.96,MG,1690742293
163,canchungo,12.0672,-16.0333,28.07000000000005,93,100,2.95,GW,1690742293
164,undurkhaan,47.3194,110.6556,23.090000000000032,32,3,2.45,MN,1690742293
165,ola,59.5833,151.2833,11.190000000000056,93,100,1.67,RU,1690742293
166,suva,-18.1416,178.4415,18.71000000000004,94,100,0.0,FJ,1690742069
167,zheleznodorozhnyy,55.7503,38.0042,20.75999999999999,69,100,1.27,RU,1690742228
168,bilibino,68.0546,166.4372,6.129999999999996,93,100,1.04,RU,1690742294
169,stephenville,32.2207,-98.2023,39.31,25,0,3.09,US,1690742294
170,margate,51.3813,1.3862,17.720000000000027,93,100,3.58,GB,1690742121
171,al ghayzah,16.2079,52.176,25.6400000000001,89,61,5.28,YE,1690742295
172,invercargill,-46.4,168.35,11.680000000000064,68,58,4.92,NZ,1690742295
173,jayapura,-2.5333,140.7,24.66000000000008,92,63,2.28,ID,1690742118
174,bemidji,47.4736,-94.8803,25.590000000000032,48,75,5.14,US,1690742295
175,mu'minobod,38.1085,70.0285,29.350000000000023,25,50,2.38,TJ,1690742295
176,cidreira,-30.1811,-50.2056,17.24000000000001,68,8,3.01,BR,1690742296
177,isabela,6.7085,121.9711,26.029999999999973,90,88,2.08,PH,1690742296
178,greeley,40.4233,-104.7091,34.23000000000002,41,0,0.45,US,1690742182
179,pisco,-13.7,-76.2167,22.029999999999973,64,40,4.12,PE,1690742297
180,new norfolk,-42.7826,147.0587,8.720000000000027,79,38,8.12,AU,1690742297
181,kavaratti,10.5669,72.642,28.16000000000008,76,14,6.87,IN,1690742297
182,san antonio de pale,-1.4014,5.6325,22.680000000000064,81,87,6.38,GQ,1690742297
183,bonthe,7.5264,-12.505,25.289999999999964,84,99,2.85,SL,1690742297
184,dunedin,-45.8742,170.5036,6.559999999999945,87,0,0.45,NZ,1690742298
185,mokhotlong,-29.2894,29.0675,-0.3899999999999863,49,0,0.6,LS,1690742298
186,avarua,-21.2078,-159.775,22.029999999999973,100,100,3.6,CK,1690742298
187,kudahuvadhoo,2.6708,72.8944,28.340000000000032,72,99,1.33,MV,1690742298
188,melo,-32.3667,-54.1833,17.6400000000001,65,84,1.96,UY,1690742299
189,tazacorte,28.629,-17.9293,26.75,78,20,6.69,ES,1690742299
190,vandalia,39.8906,-84.1988,30.180000000000064,52,40,3.09,US,1690742299
191,mount darwin,-16.7725,31.5838,16.809999999999945,47,2,0.26,ZW,1690742299
192,guerrero negro,27.9769,-114.0611,30.32000000000005,40,39,3.43,MX,1690742300
193,ribeira grande,38.5167,-28.7,26.220000000000027,89,40,4.12,PT,1690742300
194,papatowai,-46.5619,169.4708,6.650000000000091,78,11,3.34,NZ,1690742300
195,baiti,13.745,-14.7482,25.82000000000005,79,100,4.3,SN,1690742302
196,colchani,-20.3,-66.9333,9.910000000000082,22,0,3.13,BO,1690742302
197,batabano,22.7164,-82.2881,33.34000000000003,56,69,4.81,CU,1690742302
